class,cbo,wmc,lcom
com.alibaba.druid.pool.ElasticSearchPreparedStatement,14,151,6357
org.nlpcn.es4sql.spatial.WktToGeoJsonConverter,1,27,55
org.nlpcn.es4sql.query.join.JoinRequestBuilder,10,16,49
org.nlpcn.es4sql.AggregationTest,28,118,1485
org.nlpcn.es4sql.SqlParserTests,25,107,0
org.elasticsearch.aggregations.pipeline.BucketSelectorPipelineAggregationBuilder,13,36,13
org.nlpcn.es4sql.domain.Condition$OPEAR,3,5,0
org.nlpcn.es4sql.spatial.BoundingBoxFilterParams,1,3,0
org.nlpcn.es4sql.domain.KVValue,0,5,0
org.nlpcn.es4sql.query.DeleteQueryAction,12,13,0
org.nlpcn.es4sql.SQLFunctions,11,141,703
org.nlpcn.es4sql.query.join.ESNestedLoopsQueryAction,8,8,10
org.elasticsearch.plugin.nlpcn.GetIndexRequestRestListener$Fields,0,0,0
com.alibaba.druid.pool.ElasticSearchDruidDataSource$DestroyConnectionThread,1,7,1
org.nlpcn.es4sql.domain.TableOnJoinSelect,2,7,15
org.elasticsearch.plugin.nlpcn.NamedXContentRegistryHolder,2,2,0
org.elasticsearch.plugin.nlpcn.ElasticHitsExecutor,1,2,1
org.nlpcn.es4sql.parse.SubQueryExpression,2,6,1
org.elasticsearch.plugin.nlpcn.MetaSearchResult,0,11,29
com.alibaba.druid.pool.ElasticSearchDruidDataSource$CreateConnectionThread,2,28,1
com.alibaba.druid.pool.ElasticSearchResultSetMetaDataBase,2,2,0
org.nlpcn.es4sql.domain.hints.HintFactory,3,55,6
org.elasticsearch.plugin.nlpcn.ElasticResultHandler,2,6,1
org.elasticsearch.plugin.nlpcn.executors.ElasticDefaultRestExecutor,26,16,6
org.nlpcn.es4sql.domain.Select,9,31,108
org.nlpcn.es4sql.parse.ElasticLexer,5,33,6
org.nlpcn.es4sql.ExplainTest,6,24,276
org.nlpcn.es4sql.parse.ElasticSqlExprParser,45,198,325
org.nlpcn.es4sql.query.SqlElasticDeleteByQueryRequestBuilder,6,6,0
org.nlpcn.es4sql.ShowTest,8,7,10
org.nlpcn.es4sql.query.join.HashJoinElasticRequestBuilder,2,6,11
org.nlpcn.es4sql.query.join.ESJoinQueryAction,12,14,22
org.elasticsearch.plugin.nlpcn.NestedLoopsElasticExecutor$FetchWithScrollResponse,1,3,0
com.alibaba.druid.pool.ElasticSearchDruidDataSource$LogStatsThread,1,5,1
org.elasticsearch.plugin.nlpcn.executors.RestExecutor,3,2,1
org.nlpcn.es4sql.query.maker.Maker,43,101,55
org.elasticsearch.plugin.nlpcn.HashJoinElasticExecutor$Anonymous1,1,1,0
org.elasticsearch.plugin.nlpcn.MultiRequestExecutorFactory,7,5,0
org.nlpcn.es4sql.spatial.PolygonFilterParams,1,2,0
org.nlpcn.es4sql.jdbc.ObjectResultsExtractor,20,67,97
org.nlpcn.es4sql.Test,8,3,1
