class,cbo,wmc,lcom
com.iluwatar.gameloop.GameLoopTest,4,5,0
com.iluwatar.abstractfactory.Army,0,1,0
com.iluwatar.mute.Resource,0,0,0
com.iluwatar.abstractdocument.AppTest,1,1,0
com.iluwatar.price.microservice.PriceControllerTest,3,1,0
com.iluwatar.saga.choreography.SagaApplication,9,3,3
com.iluwatar.repository.App,6,1,0
com.iluwatar.health.check.HealthCheck,5,0,0
com.iluwatar.servicelayer.spell.SpellDaoImpl,8,3,0
com.iluwatar.model.view.intent.CalculatorModel,2,0,0
com.iluwatar.identitymap.PersonDbSimulatorImplementation,4,14,0
com.iluwatar.event.sourcing.event.MoneyDepositEvent,6,2,0
com.iluwatar.domainmodel.ProductDao,1,3,3
com.iluwatar.strategy.ProjectileStrategy,2,1,0
com.iluwatar.event.asynchronous.ThreadCompleteListener,0,1,0
com.iluwatar.composite.Letter,2,1,0
com.iluwatar.sharding.ShardManagerTest$TestShardManager,2,2,1
com.iluwatar.pipeline.App,6,1,0
com.iluwatar.value.object.App,1,1,0
com.iluwatar.business.delegate.YouTubeService,2,1,0
com.iluwatar.monostate.LoadBalancer,3,7,0
com.iluwatar.health.check.AsynchronousHealthChecker,9,10,0
com.iluwatar.transactionscript.HotelDaoImpl,4,21,34
com.iluwatar.lockableobject.SubCreaturesTests,4,1,0
com.iluwatar.fanout.fanin.AppTest,2,1,0
com.iluwatar.masterworker.Input,2,2,1
com.iluwatar.bridge.SoulEatingEnchantment,2,3,3
com.iluwatar.virtual.proxy.RealVideoObjectTest,3,3,3
com.iluwatar.retry.BusinessException,0,1,0
com.iluwatar.context.object.ServiceContext,2,0,0
com.iluwatar.subclasssandbox.Superpower,1,4,0
com.iluwatar.value.object.HeroStatTest,1,2,1
com.iluwatar.converter.UserConverter,3,3,3
com.iluwatar.retry.Retry,3,9,0
com.iluwatar.business.delegate.BusinessDelegateTest,7,2,0
com.iluwatar.observer.WeatherTest,7,5,0
com.iluwatar.spatialpartition.Bubble,3,11,8
com.iluwatar.dependency.injection.AppTest,2,1,0
com.iluwatar.model.view.viewmodel.BookTest,4,8,0
com.iluwatar.flux.action.ContentAction,3,1,0
com.iluwatar.stepbuilder.CharacterStepBuilder$CharacterSteps,8,14,43
com.iluwatar.factorykit.WeaponType,0,0,0
com.iluwatar.specification.creature.CreatureTest,13,7,21
com.iluwatar.identitymap.IdNotFoundException,0,1,0
com.iluwatar.prototype.App,11,1,0
com.iluwatar.versionnumber.VersionMismatchException,0,1,0
com.iluwatar.observer.generic.ObserverTest,9,5,0
com.iluwatar.adapter.RowingBoat,0,1,0
com.iluwatar.filterer.threat.SimpleThreat,5,3,3
com.iluwatar.abstractdocument.AbstractDocumentTest,3,7,0
com.iluwatar.domainmodel.ProductDaoImpl,2,5,0
com.iluwatar.abstractfactory.OrcArmy,1,1,0
com.iluwatar.doubledispatch.AppTest,2,1,0
com.iluwatar.saga.choreography.WithdrawMoneyService,4,4,3
com.iluwatar.transactionscript.HotelDaoImplTest$ConnectivityIssue,6,7,21
com.iluwatar.logaggregation.CentralLogStore,2,4,0
com.iluwatar.roleobject.ApplicationRoleObjectTest,2,1,0
com.iluwatar.model.view.presenter.FileSelectorJframeTest,3,1,0
com.iluwatar.filterer.threat.ThreatAwareSystem,3,3,3
com.iluwatar.spatialpartition.SpatialPartitionGeneric,2,1,0
com.iluwatar.strategy.AppTest,2,1,0
com.iluwatar.stepbuilder.CharacterStepBuilder$NameStep,1,1,0
com.iluwatar.event.asynchronous.EventAsynchronousTest,7,10,21
com.iluwatar.model.view.intent.CalculatorViewModel,4,12,0
com.iluwatar.retry.App,7,6,0
com.iluwatar.inventory.microservice.InventoryController,2,1,0
com.iluwatar.circuitbreaker.State,0,0,0
com.iluwatar.singleton.ThreadSafeLazyLoadedIvoryTower,1,4,0
com.iluwatar.circuitbreaker.DefaultCircuitBreakerTest,3,3,3
com.iluwatar.prototype.HeroFactoryImpl,6,3,3
com.iluwatar.delegation.simple.DelegateTest,9,5,0
